Address;Status geocode;Formatted address;Latitude;Longitude;Type;Location Type;Street number;Street;Postal code;City;Country;Region;Department;Department number
17015130;Ok;R. Monsenhor Claro - Centro, Bauru - SP, 17015-130, Brazil;-22.3298159;-49.0763447;postal_code;APPROXIMATE;;Rua Monsenhor Claro;17015-130;;Brazil;São Paulo;Bauru;Bauru
17014440;Ok;Bauru, State of São Paulo, 17014-440, Brazil;-22.3289953;-49.0732669;postal_code;APPROXIMATE;;;17014-440;;Brazil;State of São Paulo;Bauru;Bauru
17017250;Ok;R. Prof. Alberto Brandão de Rezende - Jardim Amalia, Bauru - SP, 17017-250, Brazil;-22.343336;-49.0629383;postal_code;APPROXIMATE;;Rua Professor Alberto Brandão de Rezende;17017-250;;Brazil;São Paulo;Bauru;Bauru
17054210;Ok;Bauru, State of São Paulo, 17054-210, Brazil;-22.3428649;-49.0894485;postal_code;APPROXIMATE;;;17054-210;;Brazil;State of São Paulo;Bauru;Bauru
17060400;Ok;R. Padre Anchieta - Vila São João da Boa Vista, Bauru - SP, 17060-400, Brazil;-22.3186142;-49.0823135;postal_code;APPROXIMATE;;Rua Padre Anchieta;17060-400;;Brazil;São Paulo;Bauru;Bauru
17053342;Ok;Av. José V. Aiello - Vila Serrao, Bauru - SP, 17053-342, Brazil;-22.3659075;-49.0663562;postal_code;APPROXIMATE;;Avenida José Vicente Aiello;17053-342;;Brazil;São Paulo;Bauru;Bauru
17010240;Ok;R. Virgílio Malta - Centro, Bauru - SP, 17010-240, Brazil;-22.325098;-49.0745456;postal_code;APPROXIMATE;;Rua Virgílio Malta;17010-240;;Brazil;São Paulo;Bauru;Bauru
17055040;Ok;Av. Antônio Requena Nevado - Vila Alto Paraiso, Bauru - SP, 17055-040, Brazil;-22.3361991;-49.1059505;postal_code;APPROXIMATE;;Avenida Antônio Requena Nevado;17055-040;;Brazil;São Paulo;Bauru;Bauru
17015210;Ok;R. Azarias Leite - Centro, Bauru - SP, 17015-210, Brazil;-22.3293561;-49.0743843;postal_code;APPROXIMATE;;Rua Azarias Leite;17015-210;;Brazil;São Paulo;Bauru;Bauru
17052000;Ok;Vila Independencia, Bauru - State of São Paulo, 17052-000, Brazil;-22.3321663;-49.086336;postal_code;APPROXIMATE;;;17052-000;;Brazil;São Paulo;Bauru;Bauru
17033360;Ok;Av. Eng. Luís Edmundo Carrijo Coube - Nucleo Res. Pres. Geisel, Bauru - SP, 17033-360, Brazil;-22.3477447;-49.0323205;postal_code;APPROXIMATE;;Avenida Engenheiro Luís Edmundo Carrijo Coube;17033-360;;Brazil;São Paulo;Bauru;Bauru
17021270;Ok;Alameda Flôr do Amor - Parque Novo Sao Geraldo, Bauru - SP, 17021-270, Brazil;-22.29928;-49.0743911;postal_code;APPROXIMATE;;Alameda Flôr do Amor;17021-270;;Brazil;São Paulo;Bauru;Bauru
17020030;Ok;R. Floresta - Parque Vista Alegre, Bauru - SP, 17020-030, Brazil;-22.3059666;-49.0701954;postal_code;APPROXIMATE;;Rua Floresta;17020-030;;Brazil;São Paulo;Bauru;Bauru
17052000;Ok;Vila Independencia, Bauru - State of São Paulo, 17052-000, Brazil;-22.3321663;-49.086336;postal_code;APPROXIMATE;;;17052-000;;Brazil;São Paulo;Bauru;Bauru
17011120;Ok;R. Ponciano Ferreira de Menezes - Jardim Panorama, Bauru - SP, 17011-120, Brazil;-22.3330595;-49.0512042;postal_code;APPROXIMATE;;Rua Ponciano Ferreira de Menezes;17011-120;;Brazil;São Paulo;Bauru;Bauru
17063560;Ok;R. Antônio Alves de Souza - Jardim Vania Maria, Bauru - SP, 17063-560, Brazil;-22.3067747;-49.0991596;postal_code;APPROXIMATE;;Rua Antônio Alves de Souza;17063-560;;Brazil;São Paulo;Bauru;Bauru
17015360;Ok;R. Prof. José Ranieri - Centro, Bauru - SP, 17015-360, Brazil;-22.3252171;-49.0659871;postal_code;APPROXIMATE;;Rua Professor José Ranieri;17015-360;;Brazil;São Paulo;Bauru;Bauru
