;property_type;room_type;bed_type;accommodates;bedrooms;beds;number_of_reviews;bathrooms;price
574;Hostel;Shared room;Real Bed;4;1;1;0;1;84
575;Apartment;Entire home/apt;Real Bed;4;2;2;39;1;385
576;Apartment;Entire home/apt;Real Bed;4;1;2;119;1;65
577;Apartment;Private room;Real Bed;1;1;1;0;1;267
578;Apartment;Entire home/apt;Real Bed;2;1;1;1;2;701
579;Apartment;Entire home/apt;Real Bed;4;1;2;103;1;40
580;Loft;Entire home/apt;Real Bed;4;1;1;12;1;225
581;House;Shared room;Real Bed;1;1;4;1;3.5;116
582;Apartment;Entire home/apt;Real Bed;2;1;2;0;1;597
583;Apartment;Entire home/apt;Real Bed;4;1;1;2;1;373
584;Villa;Entire home/apt;Real Bed;3;2;2;0;1;451
585;Apartment;Entire home/apt;Real Bed;4;1;1;54;1;149
586;Apartment;Entire home/apt;Real Bed;4;2;2;0;2;1306
587;Serviced apartment;Entire home/apt;Real Bed;3;1;2;16;1;60
588;Apartment;Entire home/apt;Real Bed;5;2;3;0;2;933
589;Apartment;Private room;Real Bed;2;1;1;0;1;63
590;Apartment;Entire home/apt;Real Bed;2;1;1;5;2;75
591;Apartment;Entire home/apt;Real Bed;4;2;2;0;1.5;1000
592;Condominium;Entire home/apt;Real Bed;3;0;2;29;1;118
593;Apartment;Entire home/apt;Real Bed;2;1;1;130;1;142
594;Apartment;Entire home/apt;Real Bed;2;1;1;0;1;848
595;House;Entire home/apt;Real Bed;8;3;4;32;3;425
596;Apartment;Entire home/apt;Real Bed;4;2;4;51;1;130
597;Apartment;Entire home/apt;Real Bed;4;2;3;25;1;200
598;Apartment;Entire home/apt;Real Bed;8;3;6;46;1;370
599;Condominium;Entire home/apt;Real Bed;4;0;1;8;1;150
600;House;Private room;Real Bed;2;1;1;0;1;151
601;Apartment;Entire home/apt;Real Bed;6;0;4;0;2;2238
602;Apartment;Entire home/apt;Real Bed;4;1;2;69;1;60
603;Loft;Entire home/apt;Real Bed;4;0;2;35;1;172
604;Apartment;Entire home/apt;Real Bed;2;1;1;10;1;230
605;Apartment;Private room;Real Bed;4;1;2;3;2;149
606;Apartment;Entire home/apt;Real Bed;2;1;1;31;1.5;1751
607;Condominium;Entire home/apt;Real Bed;4;2;2;66;1;102
608;Apartment;Entire home/apt;Real Bed;5;2;2;1;2;199
609;Apartment;Entire home/apt;Real Bed;2;0;0;206;1;119
610;Apartment;Entire home/apt;Real Bed;4;2;2;4;1;75
611;Guesthouse;Entire home/apt;Real Bed;4;1;2;6;2;142
612;Apartment;Entire home/apt;Real Bed;3;1;1;8;1;139
613;Apartment;Private room;Real Bed;1;1;1;0;1;38
614;Apartment;Entire home/apt;Real Bed;6;1;4;22;1;104
615;Condominium;Entire home/apt;Real Bed;2;1;2;5;1;145
616;Apartment;Entire home/apt;Real Bed;2;1;2;34;1;199
617;Apartment;Entire home/apt;Real Bed;3;1;2;110;1;33
618;Apartment;Private room;Real Bed;2;1;1;2;1;125
619;Apartment;Private room;Real Bed;2;1;1;66;1;40
620;House;Private room;Real Bed;2;1;1;46;1;17
621;Apartment;Entire home/apt;Real Bed;6;3;3;18;1;177
622;Apartment;Entire home/apt;Real Bed;4;2;2;18;1;65
623;Apartment;Entire home/apt;Real Bed;2;2;1;0;1;550
624;Other;Private room;Real Bed;2;1;1;0;1;591
625;Apartment;Private room;Real Bed;2;1;2;0;1;116
626;Apartment;Entire home/apt;Real Bed;4;2;2;75;1;49
627;Apartment;Entire home/apt;Real Bed;2;1;1;130;1;100
628;Apartment;Entire home/apt;Real Bed;5;2;5;0;1;351
629;House;Entire home/apt;Real Bed;3;2;2;3;1.5;164
630;Apartment;Entire home/apt;Real Bed;2;1;2;48;1;161
631;Apartment;Private room;Real Bed;2;1;2;14;1;14
632;Apartment;Entire home/apt;Real Bed;3;1;1;2;1;125
633;Apartment;Private room;Real Bed;2;1;1;2;1.5;250
634;Apartment;Entire home/apt;Real Bed;3;3;3;0;2.5;1865
635;Condominium;Entire home/apt;Real Bed;2;1;1;0;1;785
636;Apartment;Entire home/apt;Real Bed;2;1;2;57;1;175
637;Apartment;Entire home/apt;Real Bed;9;3;5;163;2;1350
638;Apartment;Private room;Real Bed;2;1;1;3;1;100
639;Apartment;Private room;Real Bed;1;1;1;221;1;53
640;House;Entire home/apt;Real Bed;6;3;3;47;2;60
641;Apartment;Entire home/apt;Real Bed;3;1;2;35;1;148
642;Apartment;Private room;Real Bed;2;1;1;4;1;25
643;Apartment;Entire home/apt;Real Bed;4;2;2;14;1;89
644;House;Private room;Real Bed;2;1;1;0;2;50
645;Apartment;Private room;Real Bed;2;1;1;4;1;30
646;Apartment;Entire home/apt;Real Bed;4;2;2;18;1;103
647;House;Private room;Real Bed;2;1;1;68;1.5;100
648;Villa;Entire home/apt;Real Bed;2;1;1;80;2;245
649;Apartment;Entire home/apt;Real Bed;4;1;1;0;1;317
650;Apartment;Private room;Real Bed;2;1;1;2;1;40
651;Apartment;Private room;Real Bed;2;1;1;123;1;45
652;House;Private room;Real Bed;1;1;1;186;1;35
653;Apartment;Private room;Real Bed;2;1;1;66;1;67
654;Apartment;Private room;Real Bed;2;1;2;1;1.5;560
655;Apartment;Entire home/apt;Real Bed;8;4;4;0;2.5;699
656;Apartment;Entire home/apt;Real Bed;2;0;1;92;1;125
657;Apartment;Private room;Real Bed;2;1;1;16;1;45
658;Apartment;Private room;Real Bed;2;1;1;0;1;90
659;Apartment;Private room;Real Bed;1;1;1;7;1;338
660;Apartment;Entire home/apt;Real Bed;3;1;1;3;1;62
661;Apartment;Entire home/apt;Real Bed;5;2;2;48;2;550
662;House;Entire home/apt;Real Bed;10;5;6;0;4;5595
663;Apartment;Private room;Real Bed;2;1;1;132;1;40
664;Apartment;Private room;Real Bed;1;1;1;5;1;35
665;Townhouse;Private room;Real Bed;4;1;2;62;2.5;84
666;Apartment;Entire home/apt;Real Bed;2;2;2;2;1;60
667;Apartment;Entire home/apt;Real Bed;2;1;1;0;1;447
668;Apartment;Entire home/apt;Real Bed;2;1;1;2;1;68
669;Guest suite;Private room;Real Bed;1;1;1;5;1;290
670;Condominium;Entire home/apt;Real Bed;9;3;6;17;3;800
671;House;Private room;Real Bed;2;1;1;16;1;45
672;Apartment;Entire home/apt;Real Bed;4;1;2;2;1;119
673;House;Entire home/apt;Real Bed;6;3;2;0;2;119
674;Apartment;Entire home/apt;Real Bed;2;0;2;0;1;298
675;House;Private room;Real Bed;2;1;1;5;1;26
676;Apartment;Private room;Real Bed;1;1;1;0;1;196
677;Apartment;Entire home/apt;Real Bed;4;1;1;0;1;100
678;Apartment;Private room;Real Bed;2;1;1;19;1;46
679;Apartment;Entire home/apt;Real Bed;1;1;1;0;1;596
680;House;Entire home/apt;Real Bed;6;3;4;13;2;450
681;House;Entire home/apt;Real Bed;10;5;5;0;5;601
682;Apartment;Private room;Real Bed;2;1;1;40;1;86
683;Bed and breakfast;Private room;Real Bed;9;3;5;0;3;1213
684;Apartment;Private room;Real Bed;1;1;1;0;1;60
685;Apartment;Private room;Real Bed;2;1;1;0;1;250
686;Serviced apartment;Entire home/apt;Real Bed;6;2;3;71;2;129
687;Condominium;Entire home/apt;Real Bed;5;2;0;6;2;486
688;Apartment;Entire home/apt;Real Bed;2;1;2;1;1;518
689;Guesthouse;Entire home/apt;Real Bed;4;2;3;7;1.5;215
690;Apartment;Entire home/apt;Real Bed;5;0;2;0;2;500
691;Apartment;Entire home/apt;Real Bed;4;1;2;20;1;130
692;Apartment;Private room;Real Bed;2;1;1;0;1;45
693;Apartment;Entire home/apt;Real Bed;3;2;2;0;1;132
694;Aparthotel;Private room;Real Bed;2;1;1;49;1;100
695;Apartment;Private room;Real Bed;2;1;1;76;1;100
696;Condominium;Entire home/apt;Real Bed;3;1;1;29;1;110
697;Apartment;Entire home/apt;Real Bed;2;1;1;0;1;150
698;Apartment;Private room;Real Bed;1;1;1;0;1;211
699;Apartment;Entire home/apt;Real Bed;2;1;1;10;1;140
700;Loft;Private room;Real Bed;2;1;1;6;1;257
701;Apartment;Entire home/apt;Real Bed;2;1;1;2;1;400
702;Apartment;Private room;Real Bed;1;1;1;0;1;475
703;Apartment;Entire home/apt;Real Bed;4;2;2;29;1.5;100
704;Apartment;Entire home/apt;Real Bed;5;2;3;61;2.5;250
705;Apartment;Entire home/apt;Real Bed;4;1;2;197;1;35
706;Condominium;Entire home/apt;Real Bed;6;2;4;16;2;185
707;Apartment;Entire home/apt;Real Bed;3;0;2;0;1;199
708;Apartment;Entire home/apt;Real Bed;3;1;1;0;1;42
709;Guest suite;Private room;Real Bed;2;1;1;45;1;95
710;Hostel;Private room;Real Bed;2;1;2;5;0;259
711;Apartment;Entire home/apt;Real Bed;4;1;2;9;1;109
712;Apartment;Private room;Real Bed;2;1;1;6;0.5;447
713;Apartment;Entire home/apt;Real Bed;1;1;1;0;1;557
714;Apartment;Private room;Real Bed;2;1;1;0;1;451
