;property_type;room_type;bed_type;accommodates;bedrooms;beds;number_of_reviews;bathrooms;price
925;Apartment;Entire home/apt;Real Bed;7;3;4;30;3;399
926;Apartment;Private room;Real Bed;2;1;1;19;1;44
927;Apartment;Private room;Real Bed;2;1;1;0;1;100
928;Guesthouse;Entire home/apt;Real Bed;2;1;1;1;1;142
929;Apartment;Entire home/apt;Real Bed;6;3;6;1;2;62
930;Apartment;Entire home/apt;Real Bed;4;1;3;6;1;88
931;House;Private room;Real Bed;2;1;1;133;1;100
932;Apartment;Entire home/apt;Real Bed;4;2;3;4;1;115
933;Condominium;Entire home/apt;Real Bed;2;1;1;121;1;85
934;Condominium;Entire home/apt;Real Bed;4;0;2;0;1;305
935;Other;Private room;Real Bed;1;1;1;3;1;15
936;Apartment;Entire home/apt;Real Bed;4;2;3;3;1;140
937;Apartment;Private room;Real Bed;1;1;0;66;1;78
938;Apartment;Private room;Real Bed;2;1;1;0;1;132
939;Apartment;Entire home/apt;Real Bed;6;2;3;12;2;201
940;House;Entire home/apt;Real Bed;4;2;2;38;2;200
941;Apartment;Private room;Real Bed;2;1;1;0;1;1374
942;Apartment;Private room;Real Bed;2;1;2;31;1;71
943;Apartment;Private room;Real Bed;2;1;1;6;1;138
944;House;Entire home/apt;Real Bed;6;3;4;78;2;99
945;Apartment;Entire home/apt;Real Bed;6;2;3;6;1;997
946;Apartment;Private room;Real Bed;1;1;1;94;1;43
947;Apartment;Entire home/apt;Real Bed;2;1;1;3;1;190
948;Apartment;Entire home/apt;Real Bed;2;1;1;6;1;179
949;Apartment;Entire home/apt;Real Bed;8;2;5;46;1;101
950;Apartment;Entire home/apt;Real Bed;4;2;2;97;1;58
951;Apartment;Entire home/apt;Real Bed;2;0;1;21;1;110
952;Apartment;Entire home/apt;Real Bed;5;0;1;45;1;50
953;Condominium;Entire home/apt;Real Bed;4;1;1;3;1;143
954;Apartment;Entire home/apt;Real Bed;2;1;1;1;1;81
955;Serviced apartment;Entire home/apt;Real Bed;4;1;2;5;1;195
956;Apartment;Private room;Real Bed;2;1;1;1;1;40
957;Apartment;Entire home/apt;Real Bed;2;1;1;9;1;573
958;House;Private room;Real Bed;2;1;2;63;1;31
959;Apartment;Private room;Real Bed;2;1;2;69;1;60
960;Apartment;Entire home/apt;Real Bed;2;1;1;5;1;100
961;House;Entire home/apt;Real Bed;8;3;3;1;3;350
962;House;Entire home/apt;Real Bed;10;4;5;42;3.5;450
963;Loft;Entire home/apt;Real Bed;4;0;1;22;1;172
964;Apartment;Entire home/apt;Real Bed;7;2;5;96;1;429
965;Townhouse;Private room;Real Bed;2;1;1;17;1.5;75
966;Villa;Private room;Real Bed;2;1;2;89;1;95
967;Apartment;Private room;Real Bed;1;1;1;15;1;15
968;Apartment;Entire home/apt;Real Bed;2;1;1;9;1;151
969;Guest suite;Entire home/apt;Real Bed;2;1;1;71;1;130
970;Apartment;Private room;Real Bed;2;1;1;0;1;596
971;Apartment;Entire home/apt;Real Bed;5;3;4;226;1;85
972;Guesthouse;Entire home/apt;Real Bed;2;1;1;22;1;115
973;Apartment;Private room;Real Bed;1;1;1;115;2;18
974;Apartment;Entire home/apt;Real Bed;2;1;1;57;1;30
975;Apartment;Entire home/apt;Real Bed;6;3;5;117;2;150
976;Apartment;Entire home/apt;Real Bed;5;3;2;0;1.5;459
977;Apartment;Private room;Real Bed;2;1;2;7;1;67
978;Apartment;Entire home/apt;Real Bed;3;2;2;1;1;38
979;Apartment;Entire home/apt;Real Bed;3;1;1;149;1;200
980;Apartment;Entire home/apt;Real Bed;9;3;5;2;1;250
981;Apartment;Private room;Real Bed;2;1;2;17;1;130
982;Apartment;Entire home/apt;Real Bed;4;1;4;2;1;298
983;Apartment;Private room;Real Bed;2;1;1;23;1;23
984;Apartment;Private room;Real Bed;2;1;1;2;1.5;46
985;Apartment;Entire home/apt;Real Bed;3;0;2;94;1;80
986;Guest suite;Private room;Real Bed;2;1;1;68;1;25
987;Apartment;Entire home/apt;Real Bed;2;1;1;0;1;60
988;Apartment;Private room;Real Bed;1;1;1;1;1;55
989;Apartment;Entire home/apt;Real Bed;6;2;3;81;1;170
990;Townhouse;Entire home/apt;Real Bed;5;2;3;2;2.5;228
991;Tiny house;Entire home/apt;Real Bed;4;1;2;31;1;125
992;Apartment;Private room;Real Bed;1;1;1;35;1;18
993;Apartment;Private room;Real Bed;2;1;1;27;1;32
994;Boat;Private room;Real Bed;2;1;2;24;1;35
995;Loft;Private room;Real Bed;4;2;2;19;1.5;22
996;Apartment;Entire home/apt;Real Bed;2;2;1;9;1;801
997;Apartment;Private room;Real Bed;1;1;1;115;1;55
998;Loft;Entire home/apt;Real Bed;3;0;1;83;1;137
999;Apartment;Private room;Real Bed;1;1;1;0;1;100
1000;Apartment;Entire home/apt;Real Bed;2;1;1;2;1;115
1001;Apartment;Private room;Real Bed;2;1;1;0;1;200
1002;Apartment;Entire home/apt;Real Bed;3;0;1;30;1;110
1003;Apartment;Private room;Real Bed;1;1;1;67;1;39
1004;Apartment;Entire home/apt;Real Bed;4;1;2;31;1;60
1005;Apartment;Entire home/apt;Real Bed;9;3;6;43;2;1562
1006;Apartment;Entire home/apt;Real Bed;10;4;7;25;2;209
1007;Apartment;Entire home/apt;Real Bed;5;0;4;39;1;264
1008;Apartment;Private room;Real Bed;2;1;1;37;1;40
1009;Apartment;Entire home/apt;Real Bed;5;2;3;2;1;350
1010;Apartment;Entire home/apt;Real Bed;3;2;2;9;1;1499
1011;Loft;Private room;Real Bed;2;1;2;0;1;79
1012;Apartment;Entire home/apt;Real Bed;2;1;1;156;1;50
1013;Apartment;Entire home/apt;Real Bed;2;0;1;82;1;132
1014;Apartment;Entire home/apt;Real Bed;2;1;1;5;1;440
1015;House;Entire home/apt;Real Bed;5;3;2;0;3.5;2000
1016;Apartment;Entire home/apt;Real Bed;2;0;1;4;1;39
1017;Apartment;Private room;Real Bed;2;1;1;1;1;65
1018;Apartment;Entire home/apt;Real Bed;2;1;1;1;1;269
1019;Apartment;Private room;Real Bed;1;1;1;3;1;100
1020;Condominium;Entire home/apt;Real Bed;3;0;2;122;1;79
1021;Apartment;Private room;Real Bed;2;1;1;0;1;248
1022;Townhouse;Entire home/apt;Real Bed;3;2;2;38;1;198
1023;Apartment;Entire home/apt;Real Bed;2;0;1;101;1;70
1024;Apartment;Entire home/apt;Real Bed;4;2;2;0;2;100
1025;Apartment;Entire home/apt;Real Bed;3;1;1;17;1;190
1026;Apartment;Entire home/apt;Real Bed;3;1;2;28;1;175
1027;House;Entire home/apt;Real Bed;4;2;2;0;1;399
1028;Guest suite;Entire home/apt;Real Bed;7;1;5;123;1;88
1029;Apartment;Entire home/apt;Real Bed;2;1;1;13;1;95
1030;Apartment;Entire home/apt;Real Bed;2;1;1;5;1;95
1031;Apartment;Private room;Real Bed;1;1;1;72;1;181
1032;Cottage;Entire home/apt;Real Bed;4;1;2;58;1;189
1033;Serviced apartment;Entire home/apt;Real Bed;4;2;3;26;1;599
1034;Guesthouse;Private room;Real Bed;2;1;1;2;1;298
1035;Apartment;Entire home/apt;Real Bed;2;1;2;5;1;150
1036;Apartment;Entire home/apt;Real Bed;2;1;1;124;1;93
1037;House;Entire home/apt;Real Bed;5;4;4;1;2;300
1038;Other;Entire home/apt;Real Bed;3;1;2;79;1;70
1039;House;Entire home/apt;Real Bed;7;3;4;22;2;175
1040;Apartment;Entire home/apt;Real Bed;2;1;1;2;1;240
1041;Other;Entire home/apt;Real Bed;2;0;1;110;1;65
1042;Townhouse;Private room;Real Bed;2;1;1;0;2.5;119
1043;Apartment;Entire home/apt;Real Bed;2;1;2;0;1;85
1044;Apartment;Entire home/apt;Real Bed;3;1;2;62;1;75
1045;House;Entire home/apt;Real Bed;6;4;4;3;1.5;999
1046;Apartment;Private room;Real Bed;1;1;1;0;1;90
1047;Apartment;Entire home/apt;Real Bed;4;2;5;97;1;60
1048;Apartment;Entire home/apt;Real Bed;8;2;3;128;2;39
1049;Apartment;Private room;Real Bed;2;1;1;3;1;135
1050;Apartment;Entire home/apt;Pull-out Sofa;3;1;1;86;1;55
1051;Apartment;Private room;Real Bed;1;1;1;2;1;225
1052;Loft;Entire home/apt;Real Bed;6;2;3;100;2;225
1053;Apartment;Entire home/apt;Real Bed;3;0;3;1;1;134
1054;Apartment;Entire home/apt;Real Bed;6;2;3;7;1;80
1055;Apartment;Private room;Real Bed;2;1;1;60;1;49
1056;Apartment;Entire home/apt;Real Bed;4;1;2;119;1.5;45
1057;Apartment;Entire home/apt;Real Bed;2;1;1;2;1;350
1058;Cabin;Entire home/apt;Real Bed;2;0;1;80;1;109
1059;Apartment;Private room;Real Bed;2;1;1;100;1;127
1060;Apartment;Private room;Real Bed;2;1;1;62;1.5;65
1061;Apartment;Private room;Real Bed;2;1;1;0;1;65
1062;Apartment;Entire home/apt;Real Bed;3;0;1;87;1;169
1063;Apartment;Entire home/apt;Real Bed;4;0;2;86;1;50
1064;Apartment;Private room;Real Bed;1;1;1;1;1;45
1065;Condominium;Entire home/apt;Real Bed;2;2;2;0;2;200
1066;Aparthotel;Private room;Real Bed;2;1;1;3;2;351
1067;House;Entire home/apt;Real Bed;5;2;3;95;2;175
1068;Apartment;Entire home/apt;Real Bed;3;0;1;95;1;95
1069;Apartment;Private room;Real Bed;2;1;1;2;1.5;30
1070;Apartment;Private room;Real Bed;2;1;1;32;2;48
1071;Apartment;Private room;Real Bed;2;1;1;13;1;42
1072;House;Private room;Real Bed;2;1;1;40;1;100
1073;Apartment;Entire home/apt;Real Bed;2;0;1;47;1;100
1074;Apartment;Private room;Real Bed;2;1;1;48;1;35
1075;Apartment;Entire home/apt;Real Bed;5;2;3;144;1;171
1076;Guesthouse;Private room;Real Bed;2;1;1;18;1;295
1077;Apartment;Entire home/apt;Real Bed;3;2;2;9;1;87
1078;Apartment;Private room;Real Bed;2;1;1;112;1;68
1079;Apartment;Entire home/apt;Real Bed;4;2;3;2;2;101
1080;House;Entire home/apt;Real Bed;4;2;2;4;1;280
1081;Apartment;Entire home/apt;Real Bed;4;2;2;35;1;101
1082;Apartment;Entire home/apt;Real Bed;4;2;3;3;1;171
1083;Apartment;Private room;Real Bed;2;1;1;83;1;361
1084;House;Entire home/apt;Real Bed;8;3;5;65;1;319
1085;Townhouse;Entire home/apt;Real Bed;8;4;5;31;2;380
1086;Apartment;Entire home/apt;Real Bed;6;2;3;32;1;33
1087;Cottage;Entire home/apt;Real Bed;6;3;3;45;3;175
1088;Apartment;Entire home/apt;Real Bed;2;1;2;41;1;90
1089;Apartment;Entire home/apt;Real Bed;3;1;1;152;1;99
1090;Apartment;Entire home/apt;Real Bed;2;0;1;46;1;90
1091;Townhouse;Entire home/apt;Real Bed;6;2;3;27;1;230
1092;House;Private room;Real Bed;1;1;1;41;2.5;36
1093;House;Entire home/apt;Real Bed;3;1;2;2;1;527
1094;Serviced apartment;Entire home/apt;Real Bed;4;2;3;86;1;189
1095;Cottage;Entire home/apt;Real Bed;7;2;4;35;1;84
1096;Condominium;Entire home/apt;Real Bed;4;1;1;15;1;275
1097;Condominium;Entire home/apt;Real Bed;2;0;1;3;1;129
1098;Apartment;Entire home/apt;Real Bed;2;1;1;138;1;793
1099;Condominium;Entire home/apt;Real Bed;4;1;2;48;1;129
1100;House;Entire home/apt;Real Bed;4;2;3;3;2.5;150
1101;Apartment;Private room;Real Bed;4;1;2;0;1;200
1102;Condominium;Private room;Real Bed;2;1;1;126;1;110
1103;Condominium;Private room;Real Bed;2;1;1;1;1;175
1104;House;Entire home/apt;Real Bed;8;3;5;40;1;260
1105;Apartment;Entire home/apt;Real Bed;2;1;1;47;1;151
1106;Apartment;Entire home/apt;Real Bed;4;2;2;4;1;90
1107;Apartment;Private room;Real Bed;2;1;2;135;1.5;40
1108;Apartment;Private room;Real Bed;1;1;1;43;2;119
1109;Apartment;Entire home/apt;Real Bed;2;0;1;2;1;55
1110;Condominium;Entire home/apt;Real Bed;4;2;2;119;1;82
1111;Apartment;Entire home/apt;Real Bed;3;1;1;2;1;75
1112;House;Entire home/apt;Real Bed;12;6;6;0;5;1200
1113;Loft;Private room;Real Bed;2;1;1;0;1;148
1114;Apartment;Entire home/apt;Real Bed;4;1;2;15;1;43
1115;House;Entire home/apt;Real Bed;5;3;3;7;2;135
1116;Apartment;Entire home/apt;Real Bed;4;1;2;88;1;60
1117;Apartment;Private room;Real Bed;2;2;1;6;1;50
1118;Townhouse;Entire home/apt;Real Bed;10;4;6;1;2.5;296
1119;Apartment;Entire home/apt;Real Bed;2;1;1;0;1;548
1120;Apartment;Entire home/apt;Real Bed;7;3;5;78;2;399
1121;Apartment;Entire home/apt;Real Bed;8;3;5;73;1;1303
1122;Townhouse;Entire home/apt;Real Bed;6;2;4;34;1;181
1123;Apartment;Entire home/apt;Real Bed;2;1;2;7;1;179
1124;Apartment;Entire home/apt;Real Bed;4;2;2;16;1;85
1125;Serviced apartment;Shared room;Real Bed;1;1;1;3;1;121
1126;Apartment;Private room;Real Bed;1;1;1;68;1;98
1127;Hostel;Private room;Real Bed;3;1;2;8;1;652
1128;Apartment;Private room;Real Bed;3;1;1;36;1;70
1129;House;Entire home/apt;Real Bed;2;1;1;37;1.5;118
1130;Apartment;Entire home/apt;Real Bed;8;2;2;3;2;300
1131;House;Entire home/apt;Real Bed;14;6;7;0;5;1500
1132;Townhouse;Private room;Real Bed;2;1;1;16;1;55
1133;Apartment;Entire home/apt;Real Bed;4;1;3;47;1;161
1134;Apartment;Entire home/apt;Real Bed;1;0;1;2;1;27
1135;Apartment;Entire home/apt;Real Bed;2;1;1;3;1;30
1136;Cottage;Entire home/apt;Real Bed;6;3;3;22;3;500
1137;House;Private room;Real Bed;2;1;1;5;1;135
1138;Apartment;Entire home/apt;Real Bed;2;1;1;0;1;100
1139;House;Entire home/apt;Real Bed;8;3;6;221;3;69
1140;House;Private room;Real Bed;2;1;1;192;1;95
1141;House;Entire home/apt;Real Bed;8;4;4;2;3;500
1142;Apartment;Entire home/apt;Real Bed;2;1;2;8;1;200
1143;Tiny house;Entire home/apt;Pull-out Sofa;3;0;1;83;1;110
1144;Apartment;Entire home/apt;Real Bed;4;1;2;115;1;100
1145;Apartment;Entire home/apt;Real Bed;4;0;2;4;1;200
1146;Apartment;Private room;Real Bed;2;1;1;120;1;110
1147;Apartment;Private room;Real Bed;2;1;2;7;1;80
1148;Apartment;Entire home/apt;Real Bed;4;2;3;4;1;119
1149;House;Private room;Real Bed;4;1;4;63;3;79
1150;Serviced apartment;Private room;Real Bed;2;1;1;3;1;26
1151;House;Entire home/apt;Real Bed;4;2;0;55;2;194
1152;Loft;Entire home/apt;Real Bed;4;0;2;14;1;298
1153;Apartment;Private room;Real Bed;2;1;1;28;1;50
1154;House;Private room;Real Bed;5;2;4;55;2;151
1155;Apartment;Private room;Real Bed;2;1;1;0;1;120
1156;Apartment;Private room;Real Bed;2;1;1;0;1;50
1157;Apartment;Private room;Real Bed;1;1;2;1;1;50
1158;Apartment;Entire home/apt;Real Bed;2;1;1;67;1;100
1159;Guest suite;Entire home/apt;Real Bed;2;1;1;0;1.5;290
1160;Apartment;Entire home/apt;Real Bed;6;3;5;0;2.5;1000
1161;Apartment;Entire home/apt;Real Bed;2;1;1;1;1;100
1162;House;Entire home/apt;Real Bed;8;4;4;1;4.5;1100
1163;Apartment;Private room;Real Bed;2;1;1;141;1;69
1164;Condominium;Entire home/apt;Real Bed;4;2;2;20;1;169
1165;Bed and breakfast;Private room;Real Bed;2;1;1;18;1;179
1166;Apartment;Private room;Real Bed;4;1;2;12;2;129
1167;Condominium;Entire home/apt;Real Bed;6;2;3;62;1;220
1168;Condominium;Private room;Real Bed;2;1;3;3;1.5;75
1169;Apartment;Entire home/apt;Real Bed;5;1;2;109;1;159
1170;Townhouse;Entire home/apt;Real Bed;4;1;2;59;1;179
1171;Apartment;Entire home/apt;Real Bed;4;2;2;10;1;1397
1172;Apartment;Entire home/apt;Real Bed;6;3;5;16;1.5;242
1173;Apartment;Entire home/apt;Real Bed;2;1;1;57;1;353
1174;Apartment;Entire home/apt;Real Bed;5;2;2;102;1;250
1175;Apartment;Entire home/apt;Real Bed;7;3;5;12;2;242
1176;Apartment;Private room;Real Bed;3;1;1;0;1;101
1177;Apartment;Entire home/apt;Real Bed;4;2;2;10;1;225
1178;Apartment;Entire home/apt;Real Bed;1;1;1;0;1;301
1179;House;Private room;Real Bed;2;1;1;159;1.5;88
1180;Apartment;Entire home/apt;Real Bed;4;3;2;0;3;1201
1181;Apartment;Entire home/apt;Real Bed;4;1;1;6;1;200
1182;Apartment;Private room;Real Bed;1;1;1;0;1;148
1183;Apartment;Private room;Real Bed;1;1;1;0;1;675
1184;Apartment;Entire home/apt;Real Bed;2;0;1;40;1;150
1185;Apartment;Private room;Real Bed;2;1;1;46;1;50
1186;Apartment;Entire home/apt;Real Bed;2;1;1;6;1;722
1187;Apartment;Entire home/apt;Real Bed;3;2;3;100;1;801
1188;Apartment;Private room;Real Bed;2;1;2;9;1;330
1189;Apartment;Entire home/apt;Real Bed;4;1;2;6;1;58
1190;Apartment;Entire home/apt;Real Bed;4;2;3;7;1;50
1191;Apartment;Entire home/apt;Real Bed;4;2;2;6;2;47
1192;Apartment;Entire home/apt;Real Bed;3;1;3;31;1;40
1193;Apartment;Entire home/apt;Real Bed;4;2;3;0;2;500
1194;House;Private room;Real Bed;1;1;1;1;1.5;60
1195;Apartment;Entire home/apt;Real Bed;5;3;3;31;2;169
1197;Apartment;Entire home/apt;Real Bed;2;0;1;2;1;589
1198;Apartment;Private room;Real Bed;2;1;1;28;1;60
1199;Condominium;Entire home/apt;Real Bed;4;1;1;1;1;436
1200;Apartment;Entire home/apt;Real Bed;8;4;6;60;3;200
1201;Apartment;Entire home/apt;Real Bed;4;0;2;25;1;85
1202;Apartment;Entire home/apt;Real Bed;6;2;3;126;2;699
1203;Apartment;Entire home/apt;Real Bed;3;2;3;5;1;60
1204;Apartment;Entire home/apt;Real Bed;4;2;2;1;2;347
1205;Apartment;Private room;Real Bed;2;1;1;7;1;353
1206;Apartment;Entire home/apt;Real Bed;2;0;1;184;1;30
1207;Apartment;Entire home/apt;Real Bed;4;2;2;82;1;75
1208;Serviced apartment;Entire home/apt;Real Bed;3;0;2;132;1;161
1209;Apartment;Entire home/apt;Real Bed;2;1;1;30;1;129
1210;Apartment;Entire home/apt;Real Bed;6;3;3;3;3;701
1211;Apartment;Entire home/apt;Real Bed;2;1;1;0;1;495
1212;Loft;Entire home/apt;Real Bed;4;3;3;0;1;250
1213;House;Private room;Real Bed;1;1;1;7;1.5;39
1214;House;Entire home/apt;Real Bed;2;1;1;12;1;119
1215;Apartment;Private room;Real Bed;3;1;1;1;1;316
1216;Condominium;Private room;Real Bed;2;1;2;11;1;70
1217;Apartment;Entire home/apt;Real Bed;4;1;4;8;1.5;348
1218;Apartment;Entire home/apt;Real Bed;10;6;6;1;2;268
1219;Apartment;Entire home/apt;Real Bed;4;1;2;3;1;79
1220;House;Private room;Real Bed;1;1;1;2;1;1746
1221;Apartment;Private room;Real Bed;2;1;1;180;1;85
1222;Apartment;Entire home/apt;Real Bed;4;0;2;36;1;120
1223;Cabin;Private room;Real Bed;2;1;1;175;1;70
1224;House;Entire home/apt;Real Bed;5;2;3;28;1;280
1225;House;Entire home/apt;Real Bed;4;2;2;51;1;100
1226;Apartment;Entire home/apt;Real Bed;2;0;1;4;1;140
1227;Condominium;Entire home/apt;Real Bed;4;1;2;0;1;55
1228;Apartment;Entire home/apt;Real Bed;4;1;2;4;1;85
1229;Apartment;Entire home/apt;Real Bed;4;2;2;7;1.5;125
1230;House;Entire home/apt;Real Bed;6;3;3;11;1.5;229
1231;Apartment;Entire home/apt;Real Bed;4;1;1;3;1;250
1232;House;Private room;Real Bed;1;1;1;0;2;149
1233;House;Private room;Real Bed;2;1;2;99;1;30
1234;Apartment;Entire home/apt;Real Bed;4;2;2;8;1;185
1235;Apartment;Private room;Real Bed;4;1;2;0;1.5;53
1236;Apartment;Private room;Real Bed;2;1;1;53;1;59
1237;Boutique hotel;Private room;Real Bed;2;1;1;19;1;298
1238;Apartment;Entire home/apt;Real Bed;4;2;2;45;1;149
1239;Apartment;Private room;Real Bed;1;1;1;48;1;85
1240;House;Entire home/apt;Real Bed;8;3;6;60;2;500
1241;Apartment;Private room;Real Bed;2;1;1;45;1.5;30
1242;Apartment;Entire home/apt;Real Bed;2;1;1;27;1;652
1243;Loft;Private room;Real Bed;3;0;1;0;1;179
1244;House;Private room;Real Bed;2;1;1;0;1;179
1245;Guesthouse;Entire home/apt;Real Bed;4;1;1;36;1;59
1246;Apartment;Private room;Real Bed;2;1;1;7;1.5;45
1247;Apartment;Entire home/apt;Real Bed;4;2;2;10;1.5;59
1248;Guesthouse;Entire home/apt;Real Bed;6;2;3;35;1;149
1249;Apartment;Entire home/apt;Real Bed;6;3;3;1;3.5;1660
1250;Apartment;Entire home/apt;Real Bed;7;3;3;0;2;250
1251;Condominium;Entire home/apt;Real Bed;6;1;2;35;1;169
1252;Apartment;Entire home/apt;Real Bed;10;2;7;219;1;130
1253;Apartment;Entire home/apt;Real Bed;2;1;1;3;1;200
1254;Apartment;Entire home/apt;Real Bed;4;0;2;2;1;45
1255;Apartment;Private room;Real Bed;2;1;1;18;1;40
1256;Apartment;Entire home/apt;Real Bed;8;3;6;0;1;422
1257;House;Private room;Real Bed;4;2;3;62;1;69
1258;Apartment;Private room;Real Bed;2;1;1;8;2;200
1259;Resort;Private room;Real Bed;6;2;3;0;2;350
1260;Condominium;Entire home/apt;Real Bed;3;1;1;60;1;125
1261;Apartment;Private room;Real Bed;2;1;1;0;1;60
1262;Apartment;Entire home/apt;Real Bed;6;3;4;66;2;449
1263;Apartment;Private room;Real Bed;2;1;1;40;2;261
1264;Serviced apartment;Entire home/apt;Real Bed;1;0;1;1;1;573
1265;Apartment;Entire home/apt;Real Bed;4;1;2;48;1;159
1266;Apartment;Entire home/apt;Real Bed;10;5;7;55;3;494
1267;Apartment;Entire home/apt;Real Bed;2;0;2;308;1;25
1268;Apartment;Entire home/apt;Real Bed;4;2;2;1;1;161
1269;Apartment;Private room;Real Bed;2;1;1;32;1;150
1270;Apartment;Private room;Real Bed;1;1;1;49;1;38
1271;Apartment;Entire home/apt;Real Bed;4;1;2;35;1;98
1272;Guesthouse;Entire home/apt;Real Bed;2;1;1;196;1;74
1273;Apartment;Entire home/apt;Real Bed;2;0;1;1;1;90
1274;Apartment;Private room;Real Bed;3;1;1;3;1;85
1275;Condominium;Entire home/apt;Real Bed;4;1;1;1;1;402
1276;House;Private room;Real Bed;1;1;1;189;1;139
1277;Condominium;Entire home/apt;Real Bed;4;1;1;0;2;320
1278;Apartment;Entire home/apt;Real Bed;2;1;1;27;1;108
1279;Townhouse;Entire home/apt;Real Bed;8;3;4;15;2.5;100
1280;Cabin;Entire home/apt;Real Bed;3;1;2;70;1;100
1281;Apartment;Entire home/apt;Real Bed;2;1;1;183;1;99
1282;Condominium;Entire home/apt;Real Bed;9;3;4;2;2;189
1283;Apartment;Private room;Real Bed;1;1;1;11;1;314
1284;Nature lodge;Private room;Real Bed;2;1;1;1;1.5;100
1285;Apartment;Private room;Real Bed;1;1;1;2;2;314
1286;Apartment;Entire home/apt;Real Bed;4;0;1;176;1;50
1287;House;Entire home/apt;Real Bed;8;4;4;6;2;249
1288;Condominium;Entire home/apt;Real Bed;8;3;5;9;2;692
1289;Apartment;Entire home/apt;Real Bed;4;1;2;83;1;210
1290;Apartment;Entire home/apt;Real Bed;4;1;1;41;1;199
1291;Condominium;Shared room;Real Bed;2;1;2;3;1;86
1292;Apartment;Private room;Real Bed;2;1;1;348;1;361
1293;Apartment;Private room;Real Bed;2;1;1;16;1;440
1294;Apartment;Entire home/apt;Real Bed;4;1;1;1;1;50
1295;Townhouse;Entire home/apt;Real Bed;8;3;6;63;2;350
1296;Apartment;Entire home/apt;Real Bed;3;1;1;14;1;714
1297;Apartment;Entire home/apt;Real Bed;2;1;1;25;1;226
1298;Apartment;Entire home/apt;Real Bed;10;3;6;29;2;298
1299;Loft;Entire home/apt;Real Bed;2;1;1;0;1;125
1300;Apartment;Entire home/apt;Real Bed;2;1;1;3;2;70
1301;Farm stay;Private room;Real Bed;2;1;1;90;1;74
1302;Apartment;Entire home/apt;Real Bed;4;2;2;22;2;85
1303;Loft;Entire home/apt;Real Bed;5;0;2;261;1;70
1304;Apartment;Entire home/apt;Real Bed;2;1;1;3;1;85
1305;Apartment;Private room;Real Bed;2;1;1;0;1;100
1306;Apartment;Private room;Real Bed;2;1;1;1;1;50
1307;Apartment;Entire home/apt;Real Bed;3;1;1;12;1;2496
1308;Apartment;Entire home/apt;Real Bed;5;2;3;32;2;310
1309;Apartment;Entire home/apt;Real Bed;6;2;5;109;1;50
1310;House;Entire home/apt;Real Bed;2;2;1;0;2;142
1311;Apartment;Entire home/apt;Real Bed;4;1;4;25;1;801
1312;Apartment;Entire home/apt;Real Bed;3;1;2;40;1;50
1313;Apartment;Entire home/apt;Real Bed;2;0;1;0;1;659
1314;Apartment;Entire home/apt;Real Bed;1;0;1;9;1;236
1315;Apartment;Private room;Real Bed;2;1;1;1;1;71
1316;Loft;Private room;Real Bed;1;1;1;0;1;100
1317;Apartment;Entire home/apt;Real Bed;5;1;1;169;1;120
1318;Apartment;Private room;Real Bed;2;1;1;46;1;19
1319;Bed and breakfast;Entire home/apt;Real Bed;2;1;1;0;1;554
1320;Bed and breakfast;Private room;Real Bed;4;1;3;2;1;179
1321;Apartment;Entire home/apt;Real Bed;7;2;3;2;1;350
1322;Apartment;Private room;Real Bed;1;1;1;14;1;80
1323;Serviced apartment;Entire home/apt;Real Bed;4;1;1;2;1;1000
1324;Apartment;Entire home/apt;Real Bed;2;0;1;9;1;174
1325;House;Entire home/apt;Real Bed;4;2;2;21;2;185
1326;Condominium;Entire home/apt;Real Bed;6;2;2;4;2;215
1327;Apartment;Entire home/apt;Real Bed;2;2;2;1;1;61
1328;House;Private room;Real Bed;2;1;0;19;1;109
1329;Apartment;Private room;Real Bed;2;1;1;125;1;58
1330;Guesthouse;Entire home/apt;Real Bed;3;1;1;85;1;120
1331;Apartment;Private room;Real Bed;2;1;1;4;1;70
1332;Apartment;Private room;Real Bed;2;1;1;82;1;502
1333;Apartment;Entire home/apt;Real Bed;2;1;2;0;1;105
1334;Apartment;Private room;Real Bed;1;1;1;0;1;151
1335;Villa;Private room;Real Bed;2;1;1;46;1;63
1336;Apartment;Entire home/apt;Real Bed;2;0;1;87;1;60
1337;Apartment;Entire home/apt;Real Bed;5;2;4;74;1;264
1338;Apartment;Private room;Real Bed;2;1;1;10;1;85
1339;Condominium;Entire home/apt;Real Bed;2;1;1;27;1;69
1340;Apartment;Entire home/apt;Real Bed;2;1;2;10;1;120
1341;House;Private room;Pull-out Sofa;2;1;1;59;1;35
1342;Apartment;Entire home/apt;Real Bed;4;1;1;0;1;81
1343;Apartment;Entire home/apt;Real Bed;3;1;2;37;1;149
1344;Apartment;Private room;Real Bed;3;1;3;0;1.5;100
1345;House;Private room;Real Bed;2;1;1;1;1;149
1346;Apartment;Entire home/apt;Real Bed;4;2;2;17;1;30
1347;Condominium;Private room;Real Bed;4;1;2;0;1;50
1348;Apartment;Private room;Real Bed;2;1;2;27;2;18
1349;Apartment;Private room;Real Bed;4;1;2;18;1;60
1350;House;Private room;Real Bed;2;3;3;0;1;73
1351;Apartment;Entire home/apt;Real Bed;4;2;3;19;3;65
1352;Apartment;Private room;Real Bed;1;1;1;1;1;251
1353;Apartment;Entire home/apt;Real Bed;4;2;2;171;1;203
1354;Apartment;Private room;Real Bed;3;3;2;2;2;101
1355;Apartment;Private room;Real Bed;1;1;1;2;1;30
